word,chinese_meaning,phonetic,part_of_speech,english_meaning
pad,"n. 填补, 衬垫, 印色盒, 路\nvt. 填补, 走, 夸大\nvi. 步行\n[计] 焊接点; 包装配/拆卸",pæd,,"n. a number of sheets of paper fastened together along one edge\nn. the large floating leaf of an aquatic plant (as the water lily)\nn. a block of absorbent material saturated with ink; used to transfer ink evenly to a rubber stamp\nn. a flat mass of soft material used for protection, stuffing, or comfort"
paddle,"n. 桨, 划桨, 明轮翼\nvi. 划桨, 戏水, 涉水\nvt. 用桨划, 划船运送, 搅, 拌",'pædl,,n. small wooden bat with a flat surface; used for hitting balls in various games\nn. a blade of a paddle wheel or water wheel\nn. an instrument of punishment consisting of a flat board\nn. a short light oar used without an oarlock to propel a canoe or small boat
pail,"n. 桶, 提桶",peil,,n. the quantity contained in a pail
pain,"n. 痛苦, 疼痛, 辛苦\nvt. 使痛苦, 痛苦\nvi. 作痛, 疼",pein,,n. a symptom of some physical hurt or disorder\nn. emotional distress; a fundamental feeling that people try to avoid\nn. a somatic sensation of acute discomfort\nn. a bothersome annoying person
painful,"a. 痛苦的, 困难的, 令人烦恼的\n[医] 疼痛的",'peinful,,a. causing physical or psychological pain
paint,"n. 油漆, 颜料, 绘画作品, 涂漆\nvt. 油漆, 绘, 画, 描绘, 装饰, 点缀\nvi. 绘画, 涂漆",peint,,n. a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating\nv. make a painting\nv. apply paint to; coat with paint\nv. make a painting of
painter,"n. 画家, 油漆匠\n[机] 油漆匠, 喷漆匠",'peintә,,n. an artist who paints\nn. a worker who is employed to cover objects with paint\nn. a line that is attached to the bow of a boat and used for tying up (as when docking or towing)
painting,"n. 画, 绘画, 油漆\n[化] 涂漆",'peintiŋ,,n. graphic art consisting of an artistic composition made by applying paints to a surface\nn. creating a picture with paints\nn. the act of applying paint to a surface\nn. the occupation of a house painter
pale,"n. 栅栏, 界线, 范围\na. 苍白的, 暗淡的, 无力的\nvi. 变苍白, 变暗, 失色\nvt. 使变苍白, 使失色, 用栅栏围",peil,,"v. turn pale, as if in fear\ns. very light colored; highly diluted with white\ns. (of light) lacking in intensity or brightness; dim or feeble\ns. lacking in vitality or interest or effectiveness"
palm,"n. 手掌, 棕榈, 胜利\nvt. 与...握手, 藏...于掌中",pɑ:m,,n. the inner surface of the hand from the wrist to the base of the fingers\nn. a linear unit based on the length or width of the human hand\nn. any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves
pamphlet,"n. 小册子, 活页文选",'pæmflit,,n a small book usually having a paper cover\nn a brief treatise on a subject of interest; published in the form of a booklet
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景\nv. 上下左右移动, 摇镜头, 淘洗, 淘金",pæn,,n. cooking utensil consisting of a wide metal vessel\nn. (Greek mythology) god of fields and woods and shepherds and flocks; represented as a man with goat's legs and horns and ears; identified with Roman Sylvanus or Faunus\nn. shallow container made of metal\nn. chimpanzees; more closely related to Australopithecus than to other pongids
panda,"n. 大熊猫, 小熊猫",'pændә,,n large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae\nn reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员\nvt. 嵌镶板",'pænl,,n. sheet that forms a distinct (usually flat and rectangular) section or component of something\nn. (law) a group of people summoned for jury service (from whom a jury will be chosen)\nn. a group of people gathered for a special purpose as to plan or discuss an issue or judge a contest etc\nn. a soft pad placed under a saddle
panic,"n. 恐慌, 惊慌\na. 惊慌的, 没有理由的, 恐慌的\nvt. 使惊慌, 使狂热\nvi. 惊慌",'pænik,,n. an overwhelming feeling of fear and anxiety\nn. sudden mass fear and anxiety over anticipated events\nv. be overcome by a sudden fear\nv. cause sudden fear in or fill with sudden panic
panorama,"n. 全景, 全貌, 概论, 范围",.pænә'rɑ:mә,,n. a picture (or series of pictures) representing a continuous scene
pant,"n. 喘息, 悸动\nvi. 喘息, 渴望\nvt. 气喘吁吁地说",pænt,,"n. the noise made by a short puff of steam (as from an engine)\nv. breathe noisily, as when one is exhausted\nv. utter while panting, as if out of breath"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤",pænts,,"n underpants worn by women\nn the noise made by a short puff of steam (as from an engine)\nn (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately\nn a short labored intake of breath with the mouth open\nv breathe noisily, as when one is exhausted\nv utter while panting, as if out of breath"
paperback,"n. 平装本, 纸面本",'peipәbæk,,s. (of books) having a flexible binding
parachute,n. 降落伞\nvi. 跳伞,'pærәʃu:t,,n. rescue equipment consisting of a device that fills with air and retards your fall
parade,"n. 游行, 炫耀, 阅兵\nv. 游行, 炫耀, (使)列队行进",pә'reid,,n. a ceremonial procession including people marching\nn. an extended (often showy) succession of persons or things\nn. a visible display\nv. walk ostentatiously
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项",'pærәdaim,,n. systematic arrangement of all the inflected forms of a word\nn. the generally accepted perspective of a particular discipline at a given time
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事\n[化] 佯谬",'pærәdɒks,,n. (logic) a statement that contradicts itself
paradoxical,"a. 似非而是的, 矛盾的, 诡论的\n[医] 奇异的, 矛盾的, 逆理的, 反常的",.pærә'dɒksikl,,s. seemingly contradictory but nonetheless possibly true
paragraph,"n. 段落, 短评\nvt. 将...分段, 分段落\nvi. 写短讯\n[计] 段落",'pærәgrɑ:f,,"n. one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line\nv. divide into paragraphs, as of text\nv. write about in a paragraph\nv. write paragraphs; work as a paragrapher"
parallel,"n. 平行, 对比, 相匹敌之物\na. 平行的, 相似的\nvt. 与...平行, 与...相似, 相比, 使平行\n[计] 并联; 并行",'pærәlel,,n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)\nv. be parallel to\nv. make or place parallel to something\na. being everywhere equidistant and not intersecting
paralyze,"vt. 使瘫痪, 使麻痹\n[医] 使麻痹, 使瘫痪",'pærәlaiz,,v. make powerless and unable to function\nv. cause to be paralyzed and immobile
parameter,"n. 参变数, 参变量, 参数, 参量\n[计] 参量; 参数",pә'ræmitә,,n. a constant in the equation of a curve that can be varied to yield a family of similar curves\nn. any factor that defines a system and determines (or limits) its performance\nn. a quantity (such as the mean or variance) that characterizes a statistical population and that can be estimated by calculations from sample data
parasite,"n. 寄生生物, 寄生虫, 食客\n[医] 寄生物; 寄生胎",'pærәsait,,n. an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host
parcel,"n. 包裹, 部分, 片\nvt. 分配, 打包\na. 部分的\nadv. 局部地",'pɑ:sl,,n. the allotment of some amount by dividing something\nv. divide into parts\nv. cover with strips of canvas\nv. make into a wrapped container
parliament,"n. 国会, 议会\n[法] 会议, 国会, 议院",'pɑ:lәmәnt,,n. a legislative assembly in certain countries
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位\nvt. 分开, 分离, 断绝, 区别, 分配\nvi. 分开, 断裂, 分手\na. 部分的, 局部的\nadv. 部分地, 有些",pɑ:t,,n. something determined in relation to something that includes it\nn. something less than the whole of a human artifact\nn. a portion of a natural object\nn. that which concerns a person with regard to a particular role or situation
partial,"a. 部分的, 偏袒的, 偏爱的\nn. 分音",'pɑ:ʃәl,,s. being or affecting only a part; not total\na. showing favoritism
participant,"n. 参加者, 参与者\na. 有份的, 参加的, 参与的",pɑ:'tisipәnt,,n. someone who takes part in an activity
participate,"vi. 参加, 分享, 参与, 带有\nvt. 分享, 分担",pɑ:'tisipeit,,v. share in something
particle,"n. 颗粒, 粒子, 质点, 极小量\n[化] 粒子; 质点",'pɑ:tikl,,n. a body having finite mass and internal structure but negligible dimensions\nn. a function word that can be used in English to form phrasal verbs
particular,"n. 一项(或条、点), 个别项目, 详细说明\na. 特别的, 独有的, 挑剔的, 详尽的",pә'tikjulә,,n. a fact about some part (as opposed to general)\nn. (logic) a proposition that asserts something about some (but not all) members of a class\ns. unique or specific to a person or thing or category\ns. separate and distinct from others of the same group or category
partly,"adv. 部分地, 在一定程度上",'pɑ:tli,,r in part; in some degree; not wholly
partner,"n. 合伙人, 股东, 伙伴, 伴侣\nvt. 与...合伙, 组成一对\nvi. 做伙伴, 当助手",'pɑ:tnә,,n. a person who is a member of a partnership\nv. provide with a partner\nv. act as a partner
passenger,"n. 乘客, 旅客\n[经] 乘客, 旅客",'pæsindʒә,,n. a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it
passerby,"n. 过路人, 行人",'pæsә'bai,,n. a person who passes by casually or by chance
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)",'pæʃәn,,n. a strong feeling or emotion\nn. a feeling of strong sexual desire\nn. the suffering of Jesus at the Crucifixion
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的\n[医] 被动的",'pæsiv,,a. lacking in energy or will\ns. peacefully resistant in response to injustice\na. expressing that the subject of the sentence is the patient of the action denoted by the verb
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击\nvt. 用浆糊粘, 张贴, 狠狠地打\n[计] 粘贴",peist,,"n. any mixture of a soft and malleable consistency\nn. a hard, brilliant lead glass that is used in making artificial jewelry\nn. an adhesive made from water and flour or starch; used on paper and paperboard\nv. hit with the fists"
pastime,"n. 消遣, 娱乐, 游戏",'pæstaim,,n. a diversion that occupies one's time and thoughts (usually pleasantly)
pasture,"n. 牧场, 草地, 牧草\nvt. 放牧\nvi. 吃草",'pæstʃә,,n. a field covered with grass or herbage and suitable for grazing by livestock
pat,"n. 轻拍\nv. 轻拍\nadv. 适时, 正好, 恰好, 毫不迟疑, 熟记地\na. 恰好的, 合适的, 熟练的, 坚定的, 人为的",pæt,,n. the sound made by a gentle blow\ns. exactly suited to the occasion\nr. completely or perfectly
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜\nvt. 补缀, 掩饰, 拼凑, 平息\n[计] 修补; 拼凑",pætʃ,,n. a piece of cloth used as decoration or to mend or cover a hole\nn. a short set of commands to correct a bug in a computer program\nv. to join or unite the pieces of\nv. provide with a patch; also used metaphorically
patent,"n. 专利权, 许可证, 执照, 专利品, 素质\na. 专利的, 特许的, 显著的, 新奇的\nvt. 取得...的专利权, 请准专利",'pætnt. 'peitnt,,n. a document granting an inventor sole rights to an invention\nn. an official document granting a right or privilege\nv. obtain a patent for\nv. grant rights to; grant a patent for
paternal,"a. 父亲的, 父系的, 似父亲的, 得自父亲的, 家长式统治的\n[法] 父系的, 父亲的",pә'tә:nl,,a. belonging to or inherited from one's father\na. characteristic of a father
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道\n[计] 路径; DOS内部命令:设定DOS读取程序的路径",pɑ:θ,,n. a way especially designed for a particular use\nn. an established line of travel or access\nn. a line or route along which something travels or moves
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的\n[医] 感情的",pә'θetik,,s. inspiring mixed contempt and pity\ns. inspiring scornful pity
patience,"n. 耐性, 忍耐",'peiʃәns,,n. good-natured tolerance of delay or incompetence
patient,"n. 病人, 承受者\na. 忍耐的, 容忍的, 有耐性的, 坚忍的",'peiʃәnt,,n. a person who requires medical care\na. enduring trying circumstances with even temper or characterized by such endurance
patriotic,"a. 爱国的, 有爱国心的\n[法] 爱国的, 有爱国心的",.peitri'ɒtik,,a. inspired by love for your country
patrol,"n. 巡逻, 巡逻员, 侦察队\nv. 巡逻, 巡视",pә'trәul,,n. a detachment used for security or reconnaissance\nn. the activity of going around or through an area at regular intervals for security purposes\nn. a group that goes through a region at regular intervals for the purpose of security\nv. maintain the security of by carrying out a patrol
patron,"n. 赞助人, 顾客, 保护人\n[法] 保护人, 庇护人, 赞助人",'peitrәn,,n. a regular customer\nn. the proprietor of an inn\nn. someone who supports or champions something
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式\nvt. 模仿, 仿造, 以图案装饰\nvi. 形成图案\n[计] 模式, 图案",'pætәn,,n. a model considered worthy of imitation\nv. form a pattern
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符\nvi. 暂停, 中止, 停顿, 踌躇\n[计] DOS内部命令:暂时停止批处理文件的执行",pɒ:z,,n. a time interval during which there is a temporary cessation of something\nn. temporary inactivity\nv. cease an action temporarily
pave,"vt. 铺设, 安排, 铺满, 为...铺路\n[化] 铺设",peiv,,n. a setting with precious stones so closely set that no metal shows\nv. cover with a material such as stone or concrete to make suitable for vehicle traffic
pavement,"n. 路面, 人行道, 铺面路, 铺路材料",'peivmәnt,,n. the paved surface of a thoroughfare
paw,"n. 爪\nv. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进",pɒ:,,n. a clawed foot of an animal especially a quadruped\nv. scrape with the paws\nv. touch clumsily
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚\n[经] 支付, 缴纳, 支付款额",'peimәnt,,n. a sum of money paid or a claim discharged\nn. the act of paying money
pea,"n. 豌豆, 似豌豆的东西",pi:,,n. seed of a pea plant used for food\nn. the fruit or seed of a pea plant\nn. a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂\nvi. 安静下来, 不作声",pi:s,,n. the state prevailing during the absence of war\nn. harmonious relations; freedom from disputes\nn. the absence of mental stress or anxiety\nn. the general security of public places
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的\n[法] 和平的, 爱好和平的, 和平时期的",'pi:sful,,a. not disturbed by strife or turmoil or war
peach,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物\nvt. 告发\nvi. 告密, 检举",pi:tʃ,,n. cultivated in temperate regions\nn. downy juicy fruit with sweet yellowish or whitish flesh
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌\na. 最高的, 最大值的\nvi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小\nvt. 使竖起, 使达到最高点",pi:k,,n. the top or extreme point of something (usually a mountain or hill)
peanut,"n. 花生, 小人物, 极小的数额\na. 渺小的, 微不足道的",'pi:nʌt,,n. underground pod of the peanut vine\nn. widely cultivated American plant cultivated in tropical and warm regions; showy yellow flowers on stalks that bend over to the soil so that seed pods ripen underground\nn. a young child who is small for his age\nn. pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' are British terms
pear,"n. 梨子, 梨树, 梨木\n[机] 梨木",pєә,,n. sweet juicy gritty-textured fruit available in many varieties\nn. Old World tree having sweet gritty-textured juicy fruit; widely cultivated in many varieties
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物\nvt. 用珍珠镶, 使成珠状\nvi. 成珠子状, 采珍珠, 用珍珠做",pә:l,,"n. a smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel\nv. gather pearls, from oysters in the ocean"
peasant,"n. 农夫, 乡下人",'peznt,,n. a country person\nn. one of a (chiefly European) class of agricultural laborers\nn. a crude uncouth ill-bred person lacking culture or refinement
pebble,"n. 小圆石, 小鹅卵石, 水晶透镜, 碎石花纹\n[医] 小石",'pebl,,n. a small smooth rounded rock
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的\nn. 特有财产, 特权",pi'kju:ljә,,s. markedly different from the usual\ns. characteristic of one only; distinctive or special
pedal,"n. 踏板, 脚蹬子\na. 脚的, 脚踏的\nvt. 用脚踏动\nvi. 踩踏板, 骑车",'pedl,,n. a lever that is operated with the foot\nv. operate the pedals on a keyboard instrument\na. of or relating to the feet
pedestrian,"n. 行人, 步行者\na. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的",pә'destriәn,,n. a person who travels by foot\ns. lacking wit or imagination
peel,"n. 皮, 外壳\nvt. 削...皮, 剥去...的壳\nvi. 蜕皮, 剥落, 脱皮, 脱去衣服",pi:l,,n. British politician (1788-1850)\nn. the rind of a fruit or vegetable
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声\nvi. 窥视, 出现, 吱吱叫\nvt. 使隐约显现",pi:p,,v. look furtively\nv. cause to appear\nv. make high-pitched sounds\nv. speak in a hesitant and high-pitched tone of voice
peer,"n. 同等的人, 匹敌, 贵族\nvi. 凝视, 窥视, 费力地看, 隐现\nvt. 与...同等, 封为贵族",piә,,n. a person who is of equal standing with another in a group\nn. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage\nv. look searchingly
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍\n[经] 罚金(款), 违约金",'penәlti,,n. a payment required for not fulfilling a contract\nn. the disadvantage or painful consequences of an action or condition\nn. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)\n[化] 摆",'pendʒәlәm,,n. an apparatus consisting of an object mounted so that it swings freely under the influence of gravity
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢\nvi. 刺入, 看穿, 渗透, 打进",'penitreit,,"v. pass into or through, often by overcoming resistance\nv. come to understand\nv. make one's way deeper into or through\nv. insert the penis into the vagina or anus of"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛",pi'ninsjulә,,n. a large mass of land projecting into a body of water
penny,"n. 便士, 一分, 小钱, 点滴\n[经] 便士",'peni,,n. a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound\nn. a coin worth one-hundredth of the value of the basic unit
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费\nvt. 发给退休金, 用津贴拉拢",'penʃәn,,n. a regular payment to a person that is intended to allow them to subsist without working\nv. grant a pension to
pepper,"n. 胡椒粉, 胡椒, 辣椒\n[化] 胡椒; 辣椒; 花椒",'pepә,,n. climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam\nn. pungent seasoning from the berry of the common pepper plant of East India; use whole or ground\nn. sweet and hot varieties of fruits of plants of the genus Capsicum\nv. add pepper to
perceive,"vt. 感觉, 认知, 理解, 意识到",pә'si:v,,v. to become aware of through the senses\nv. become conscious of
percent,"n. 百分比, 百分数, 部分\n[机] 百分率",pә'sent,,n a proportion in relation to a whole (which is usually the amount per hundred)
percentage,"n. 百分比, 比率, 部分, 可能性\n[计] 百分比",pә'sentidʒ,,n. a proportion in relation to a whole (which is usually the amount per hundred)
perception,"n. 知觉, 感觉, 领悟力, 获取\n[医] 知觉",pә'sepʃәn,,n. a way of conceiving something\nn. the process of perceiving\nn. knowledge gained by perceiving
perceptual,"a. 知觉的, 有知觉的",pә'septʃuәl,,a. of or relating to the act of perceiving
perfection,"n. 完美, 完成, 极端\n[经] 完整性",pә'fekʃәn,,n. the state of being without a flaw or defect\nn. the act of making something perfect
perform,"vt. 进行, 履行, 完成, 执行, 表演\nvi. 行动, 工作, 执行, 演出",pә'fɒ:m,,v. carry out or perform an action\nv. perform a function\nv. give a performance (of something)
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出\n[电] 绩效, 性能",pә'fɒ:mәns,,n. a dramatic or musical entertainment\nn. the act of presenting a play or a piece of music or other entertainment\nn. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it\nn. any recognized accomplishment
perfume,"n. 香水, 香气, (悦人的)气氛, 美名\nvt. 洒香水于, 薰香, 使充满香气",'pә:fju:m,,n. a toiletry that emits and diffuses a fragrant odor\nv. fill or impregnate with an odor\nv. apply perfume to
perhaps,"adv. 也许, 大概",pә'hæps,,r by chance
period,"n. 时期, 节段, 节, 句点, 学时, 周期\na. 当时特有的, 过去某段时期的\ninterj. 就是这话, 就是这么回事",'piәriәd,,n. the interval taken to complete one cycle of a regularly repeating phenomenon\nn. (ice hockey) one of three divisions into which play is divided in hockey games\nn. a unit of geological time during which a system of rocks formed\nn. the end or completion of something
periodical,"n. 期刊\na. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的",.piәri'ɒdikl,,n. a publication that appears at fixed intervals
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂\nvt. 毁坏, 使麻木, 使丧生, 耗尽",'periʃ,,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
permanent,"a. 永久的, 不变的, 固定的, 持久的\nn. 烫发\n[计] 永久的",'pә:mәnәnt,,a. continuing or enduring without marked change in status or condition or place\ns. not capable of being reversed or returned to the original condition
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染\nvi. 透入, 散布",'pә:mieit,,v. spread or diffuse through
permission,"n. 许可, 允许\n[计] 许可, 认可",pә'miʃәn,,n. approval to do something
permit,"n. 许可证, 许可, 执照, 通行证\nvt. 允许, 容许, 可能, 使放手做\nvi. 容许, 给以机会, 提供可能",pә'mit,,"n. large game fish; found in waters of the West Indies\nv. consent to, give permission"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的\n[经] 永远的, 终身的, 持续的",pә'petʃuәl,,s continuing forever or indefinitely\ns uninterrupted in time and indefinitely long continuing
perplex,"vt. 使困惑, 使复杂化, 使为难\n[法] 困惑, 使复杂化, 使纠缠不清",pә'pleks,,v. be a mystery or bewildering to
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱\n[法] 迫害, 虐待, 烦扰",'pә:sikju:t,,v. cause to suffer
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠",pә:si'viәrәns,,n. the act of persisting or persevering; continuing or repeating behavior
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见",.pә:si'viә,,"v. be persistent, refuse to stop"
persist,"vi. 坚持, 固执, 持续, 坚称\n[经] 持续",pә'sist,,v. stay behind
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的\n[医] 人的; 个人的, 自身的",'pә:snl,,n. a short newspaper article about a particular person or group\na. concerning or affecting a particular person or his or her private life and personality\ns. particular to a given individual\na. of or arising from personality
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人\n[医] 人格; 个性",.pә:sә'næliti,,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual\nn. a person of considerable prominence"
personnel,"n. 人员, 人事部门, 人事科(处)\n[经] 人事, 全体人员, 职工",.pә:sә'nel,,n group of people willing to obey orders\nn the department responsible for hiring and training and placing employees and for setting policies for personnel management
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图\na. 透视的, 透视法的\n[计] 透视",pә'spektiv,,n. the appearance of things relative to one another as determined by their distance from the viewer
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服\nvi. 劝服, 被说服",pә'sweid,,"v. cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm"
persuasion,"n. 说服, 信念, 派别, 说服力",pә'sweiʒәn,,n. the act of persuading (or attempting to persuade); communication intended to induce belief or action
pessimistic,"a. 悲观的, 厌世的, 悲观主义的",.pesi'mistik,,a. expecting the worst possible outcome
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫\n[医] 鼠疫, 瘟疫",pest,,n. a persistently annoying person\nn. any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.
pet,"n. 宠物, 受宠爱的人, 宠坏的孩子, 不悦, 生气\na. 宠爱的, 表示亲昵的, 养着观赏的, 特别珍爱的, 格外的\nvt. 宠爱, 溺爱, 抚摸\nvi. 拥抱, 爱抚, 生气, 发脾气",pet,,"n. a domesticated animal kept for companionship or amusement\nn. a fit of petulance or sulkiness (especially at what is felt to be a slight)\nv. stroke or caress gently\nv. stroke or caress in an erotic manner, as during lovemaking"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文\nv. 正式请求, 恳求, 请愿",pi'tiʃәn,,v. write a petition for something to somebody; request formally and in writing
petrol,"n. 汽油\n[经] 汽油, 挥发油, 石油",'petrәl,,n a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
petroleum,n. 石油\n[化] 石油,pә'trәuliәm,,n. a dark oil consisting mainly of hydrocarbons
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的\n[经] 小额的, 微小的, 小规模的",'peti,,s. contemptibly narrow in outlook
pharmacy,"n. 药房, 配药学, 制药业\n[医] 药学, 药剂学, 调剂学, 药房",'fɑ:mәsi,,"n. the art and science of preparing and dispensing drugs and medicines,"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段\nvt. 使调整相位, 使定相, 使一致, 逐步执行, 实行\n[计] 阶段",feiz,,n. any distinct time period in a sequence of events\nn. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary\nn. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle\nn. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才\n[化] 现象",fi'nɒminәn,,n. any state or process known through the senses rather than by intuition or reasoning\nn. a remarkable development
philharmonic,"a. 爱好音乐的, 交响乐团的, 爱乐团体的\nn. 音乐爱好者, 音乐协会, 音乐会, 交响乐团",.filɑ:'mɒnik,,a. composing or characteristic of an orchestral group\ns. devoted to or appreciative of music
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人\n[法] 哲学家, 哲学研究者",fi'lɒsәfә,,n. a specialist in philosophy\nn. a wise person who is calm and rational; someone who lives a life of reason with equanimity
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着",fi'lɒsәfi,,n. the rational investigation of questions about existence and knowledge and ethics\nn. any personal belief about how to live or how to deal with a situation
phone,"n. 电话, 受话器, 耳机\nvt. 打电话给\nvi. 打电话",fәun,,n. (phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句\nvt. 用短语表达, 把(乐曲)分成短句\n[计] 短语",freiz,,"n. an expression consisting of one or more words forming a grammatical constituent of a sentence\nn. a short musical passage\nn. dance movements that are linked in a single choreographic sequence\nv. divide, combine, or mark into phrases"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的\nn. 体格检查",'fizikl,,a. involving the body as distinguished from the mind or spirit\na. relating to the sciences dealing with matter and energy; especially physics\ns. having substance or material existence; perceptible to the senses\ns. according with material things or natural laws (other than those peculiar to living matter)
physician,"n. 医师, 内科医师, 解除痛苦者\n[医] 主治医师",fi'ziʃәn,,n a licensed medical practitioner
physicist,"n. 物理学家, 机械唯物论者, 自然科学家\n[医] 菲西克氏手术(虹膜圆片切除)",'fizisist,,n. a scientist trained in physics
physics,"n. 物理学, 物理过程, 物理现象\n[化] 物理; 物理学",'fiziks,,"n. the science of matter and energy and their interactions\nn. the physical properties, phenomena, and laws of something"
physiological,"a. 生理学的, 生理学上的, 生理机能的\n[医] 生理学的, 生理的",.fiziә'lɒdʒikl,,a. of or relating to the biological study of physiology
pickup,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像\n[电] 拾音器",'pikʌp,,n. a light truck with an open body and low sides and a tailboard\nn. a warrant to take someone into custody\nn. anything with restorative powers
picnic,"n. 野餐, 远足, 愉快的经历\nvi. 去野餐, 远足",'piknik,,"n. any informal meal eaten outside or on an excursion\nv. eat alfresco, in the open air"
pie,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊\n[计] 饼图",pai,,n. dish baked in pastry-lined pan often with a pastry top
